method,mode,dataset_gb,time_s,run
rosbag2nuscenes,cold,5,116,1
rosbag2nuscenes,cold,5,124,2
rosbag2nuscenes,cold,5,112,3
rosbag2nuscenes,warm,5,86,1
rosbag2nuscenes,warm,5,86,2
rosbag2nuscenes,warm,5,87,3
rosbag2nuscenes,incremental,5,86,1
rosbag2nuscenes,incremental,5,85,2
rosbag2nuscenes,incremental,5,86,3
bagzel,cold,5,65.77,1
bagzel,cold,5,67.24,2
bagzel,cold,5,66.53,3
bagzel,warm,5,1.05,1
bagzel,warm,5,0.58,2
bagzel,warm,5,0.58,3
bagzel,incremental,5,2.98,1
bagzel,incremental,5,2.98,2
bagzel,incremental,5,2.98,3
bagzel_xattr,cold,5,65.61,1
bagzel_xattr,cold,5,65.83,2
bagzel_xattr,cold,5,65.61,3
bagzel_xattr,warm,5,1.02,1
bagzel_xattr,warm,5,0.58,2
bagzel_xattr,warm,5,0.56,3
bagzel_xattr,incremental,5,42.01,1
bagzel_xattr,incremental,5,42.16,2
bagzel_xattr,incremental,5,42.3,3
rosbag2nuscenes,cold,100,810,1
rosbag2nuscenes,cold,100,825,2
rosbag2nuscenes,cold,100,818,3
rosbag2nuscenes,warm,100,808,1
rosbag2nuscenes,warm,100,823,2
rosbag2nuscenes,warm,100,815,3
rosbag2nuscenes,incremental,100,807,1
rosbag2nuscenes,incremental,100,822,2
rosbag2nuscenes,incremental,100,814,3
bagzel,cold,100,700,1
bagzel,cold,100,690,2
bagzel,cold,100,705,3
bagzel,warm,100,125,1
bagzel,warm,100,118,2
bagzel,warm,100,122,3
bagzel,incremental,100,44,1
bagzel,incremental,100,41,2
bagzel,incremental,100,43,3
bagzel_xattr,cold,100,698,1
bagzel_xattr,cold,100,688,2
bagzel_xattr,cold,100,701,3
bagzel_xattr,warm,100,118,1
bagzel_xattr,warm,100,112,2
bagzel_xattr,warm,100,115,3
bagzel_xattr,incremental,100,30,1
bagzel_xattr,incremental,100,28,2
bagzel_xattr,incremental,100,29,3
rosbag2nuscenes,cold,250,2020,1
rosbag2nuscenes,cold,250,2055,2
rosbag2nuscenes,cold,250,2040,3
rosbag2nuscenes,warm,250,2015,1
rosbag2nuscenes,warm,250,2048,2
rosbag2nuscenes,warm,250,2035,3
rosbag2nuscenes,incremental,250,2016,1
rosbag2nuscenes,incremental,250,2045,2
rosbag2nuscenes,incremental,250,2034,3
bagzel,cold,250,1680,1
bagzel,cold,250,1660,2
bagzel,cold,250,1695,3
bagzel,warm,250,295,1
bagzel,warm,250,286,2
bagzel,warm,250,292,3
bagzel,incremental,250,108,1
bagzel,incremental,250,102,2
bagzel,incremental,250,106,3
bagzel_xattr,cold,250,1675,1
bagzel_xattr,cold,250,1658,2
bagzel_xattr,cold,250,1688,3
bagzel_xattr,warm,250,282,1
bagzel_xattr,warm,250,274,2
bagzel_xattr,warm,250,278,3
bagzel_xattr,incremental,250,72,1
bagzel_xattr,incremental,250,68,2
bagzel_xattr,incremental,250,70,3
rosbag2nuscenes,cold,500,4030,1
rosbag2nuscenes,cold,500,4095,2
rosbag2nuscenes,cold,500,4068,3
rosbag2nuscenes,warm,500,4028,1
rosbag2nuscenes,warm,500,4090,2
rosbag2nuscenes,warm,500,4061,3
rosbag2nuscenes,incremental,500,4026,1
rosbag2nuscenes,incremental,500,4088,2
rosbag2nuscenes,incremental,500,4059,3
bagzel,cold,500,3290,1
bagzel,cold,500,3220,2
bagzel,cold,500,3270,3
bagzel,warm,500,602,1
bagzel,warm,500,580,2
bagzel,warm,500,592,3
bagzel,incremental,500,214,1
bagzel,incremental,500,205,2
bagzel,incremental,500,210,3
bagzel_xattr,cold,500,3275,1
bagzel_xattr,cold,500,3212,2
bagzel_xattr,cold,500,3255,3
bagzel_xattr,warm,500,575,1
bagzel_xattr,warm,500,560,2
bagzel_xattr,warm,500,568,3
bagzel_xattr,incremental,500,140,1
bagzel_xattr,incremental,500,132,2
bagzel_xattr,incremental,500,136,3
